,name,company,year,price,kms_driven,fuel_type
0,Tomato Big(Nepali),Tomato Big(Nepali),2007,35,37.5,kg
1,Tomato Small(Local),Tomato Small(Local),2006,26,29.0,kg
2,Potato Red,Potato Red,2018,20,20.5,kg
3,Potato White,Potato White,2014,15,15.5,kg
4,Onion Dry (Indian),Onion Dry (Indian),2014,28,29.0,kg
5,Carrot(Local),Carrot(Local),2015,30,32.5,kg
6,Cabbage(Local),Cabbage(Local),2012,6,8.0,kg
7,Cauli Local,Cauli Local,2013,30,32.5,kg
8,Raddish Red,Raddish Red,2016,35,37.5,kg
9,Raddish White(Local),Raddish White(Local),2015,25,27.5,kg
10,Brinjal Long,Brinjal Long,2010,16,17.0,kg
11,Brinjal Round,Brinjal Round,2015,20,21.0,kg
12,Cow pea(Long),Cow pea(Long),2014,20,22.5,kg
13,Green Peas,Green Peas,2015,55,57.5,kg
14,French Bean(Local),French Bean(Local),2007,25,27.5,kg
15,Soyabean Green,Soyabean Green,2006,60,65.0,kg
16,Bitter Gourd,Bitter Gourd,2017,14,15.0,kg
17,Bottle Gourd,Bottle Gourd,2014,15,17.5,kg
18,Pointed Gourd(Local),Pointed Gourd(Local),2016,30,32.5,kg
19,Snake Gourd,Snake Gourd,2014,25,27.5,kg
20,Smooth Gourd,Smooth Gourd,2016,20,22.5,kg
21,Sponge Gourd,Sponge Gourd,2016,45,47.5,kg
22,Pumpkin,Pumpkin,2015,18,19.0,kg
23,Squash(Long),Squash(Long),2012,30,32.5,kg
24,Turnip,Turnip,2012,45,47.5,kg
25,Okara,Okara,2012,20,22.5,kg
26,Christophine,Christophine,2017,38,39.0,kg
27,Brd Leaf Mustard,Brd Leaf Mustard,2016,45,47.5,kg
28,Spinach Leaf,Spinach Leaf,2008,50,52.5,kg
29,Cress Leaf,Cress Leaf,2017,55,57.5,kg
30,Mustard Leaf,Mustard Leaf,2014,40,42.5,kg
31,Fenugreek Leaf,Fenugreek Leaf,2015,55,57.5,kg
32,Onion Green,Onion Green,2017,40,42.5,kg
33,Mushroom(Kanya),Mushroom(Kanya),2013,150,155.0,kg
34,Asparagus,Asparagus,2013,100,125.0,kg
35,Neuro,Neuro,2012,50,55.0,kg
36,Brocauli,Brocauli,2018,70,75.0,kg
37,Sugarbeet,Sugarbeet,2012,35,37.5,kg
38,Drumstick,Drumstick,2017,35,37.5,kg
39,Red Cabbbage,Red Cabbbage,2012,70,75.0,kg
40,Lettuce,Lettuce,2013,55,57.5,kg
41,Celery,Celery,2011,120,125.0,kg
42,Parseley,Parseley,2015,180,185.0,kg
43,Fennel Leaf,Fennel Leaf,2013,70,75.0,kg
44,Mint,Mint,2013,120,125.0,kg
45,Turnip A,Turnip A,2015,40,42.5,kg
46,Tamarind,Tamarind,2015,65,67.5,kg
47,Bamboo Shoot,Bamboo Shoot,2017,50,55.0,kg
48,Tofu,Tofu,2010,55,57.5,kg
49,Gundruk,Gundruk,2015,180,185.0,kg
50,Apple(Jholey),Apple(Jholey),2017,100,110.0,kg
51,Banana,Banana,2014,70,75.0,kg
52,Lime,Lime,2015,200,300.0,kg
53,Pomegranate,Pomegranate,2017,200,210.0,kg
54,Mango(Maldah),Mango(Maldah),2013,50,55.0,kg
55,Grapes(Green),Grapes(Green),2013,250,255.0,kg
56,Water Melon(Green),Water Melon(Green),2015,15,16.5,kg
57,Sweet Orange,Sweet Orange,2017,90,95.0,kg
58,Pineapple,Pineapple,2017,60,65.0,kg
59,Cucumber(Local),Cucumber(Local),2013,25,27.5,kg
60,Jack Fruit,Jack Fruit,2012,20,22.5,kg
61,Papaya(Nepali),Papaya(Nepali),2013,60,65.0,kg
62,Sugarcane,Sugarcane,2017,50,55.0,kg
63,Ginger,Ginger,2016,140,145.0,kg
64,Chilli Dry,Chilli Dry,2017,170,175.0,kg
65,Chilli Green,Chilli Green,2012,30,35.0,kg
66,Capsicum,Capsicum,2014,55,57.5,kg
67,Garlic Green,Garlic Green,2010,45,47.5,kg
68,Coriander Green,Coriander Green,2015,90,100.0,kg
69,Garlic Dry Chinese,Garlic Dry Chinese,2017,100,105.0,kg
70,Garlic Dry Nepali,Garlic Dry Nepali,2010,50,55.0,kg
71,Clive Dry,Clive Dry,2012,70,75.0,kg
72,Clive Green,Clive Green,2015,70,75.0,kg
73,Fish Fresh,Fish Fresh,2013,210,215.0,kg
74,Tomato Big(Nepali),Tomato Big(Nepali),2017,25,27.5,kg
75,Tomato Small(Local),Tomato Small(Local),2011,20,22.5,kg
76,Potato Red,Potato Red,2015,20,20.5,kg
77,Potato White,Potato White,2015,15,15.5,kg
78,Onion Dry (Indian),Onion Dry (Indian),2014,29,29.5,kg
79,Carrot(Local),Carrot(Local),2013,35,37.5,kg
80,Cabbage(Local),Cabbage(Local),2015,6,8.0,kg
81,Cauli Local,Cauli Local,2014,25,27.5,kg
82,Raddish Red,Raddish Red,2013,35,37.5,kg
83,Raddish White(Local),Raddish White(Local),2017,30,32.5,kg
84,Brinjal Long,Brinjal Long,2012,18,19.0,kg
